size=1, num_iter=1e+06,,
0,-460.52,89,274
1,-445.48,80,274
2,-446.52,31,274
2,-446.52,33,274
3,-456.44,80,274
4,-436.52,73,273
5,-464.44,66,273
6,-453.48,69,273
7,-435.48,53,273
8,-432.52,22,274
9,-448.52,71,273
10,-450.44,60,273
11,-446.52,49,273
12,-447.48,74,274
13,-456.44,66,274
14,-449.48,51,274
15,-443.48,67,273
16,-438.52,47,274
17,-462.44,62,273
18,-447.48,56,274
19,-447.48,45,274
19,-447.48,21,274
20,-455.48,58,273
21,-451.48,47,273
22,-455.48,70,273
23,-449.48,80,274
24,-455.48,56,274
25,-448.52,65,274
26,-460.52,96,273
27,-466.44,73,274
28,-443.8,63,274
29,-438.52,59,274
30,-461.48,73,273
31,-438.52,88,273
32,-455.48,78,273
33,-463.48,88,273
34,-464.44,52,273
35,-455.48,88,273
36,-454.52,73,274
37,-457.48,60,273
38,-441.48,69,274
39,-432.52,32,274
40,-440.52,51,274
41,-444.52,82,274
42,-447.48,43,274
42,-447.48,41,274
43,-437.56,90,273
44,-449.48,61,274
45,-436.84,72,273
46,-448.44,54,273
47,-443.8,62,273
48,-440.52,57,274
49,-446.52,92,273
50,-449.48,55,274
51,-444.52,80,273
52,-442.52,85,274
53,-447.48,72,273
54,-457.48,92,274
55,-447.48,60,273
56,-453.48,39,274
57,-462.44,65,273
58,-448.52,87,274
59,-448.44,50,273
60,-447.48,68,274
61,-442.52,50,274
62,-447.48,46,274
62,-447.48,36,274
63,-452.44,44,273
64,-444.52,87,274
65,-439.48,50,274
66,-440.52,36,274
67,-442.52,41,274
68,-463.48,97,274
69,-445.56,71,273
70,-443.56,94,274
71,-438.52,54,273
72,-449.48,79,274
73,-450.44,70,273
74,-446.52,58,274
75,-437.56,75,273
76,-446.52,64,274
77,-451.56,98,274
78,-450.44,63,274
79,-429.8,28,273
80,-461.48,91,274
81,-455.48,78,274
82,-440.52,88,274
83,-432.52,34,273
84,-452.52,98,274
85,-448.44,61,273
86,-441.48,44,274
86,-441.48,31,274
87,-445.8,87,273
88,-446.76,84,274
89,-440.52,69,273
90,-446.76,69,274
